y,HR
0.009695546719216075, 15202366.65792048
0.014824303524603538, 16940887.417997718
0.01994944343520577, 19119463.710272074
0.02506373266145248, 22618206.599137545
0.030185255677269596, 25236838.423609138
0.035299544903516306, 28735581.312474847
0.040413834129763015, 32234324.201340318
0.0455353571455801, 34852956.02581179
0.05064964637182681, 38351698.91467738
0.055767552492858696, 41410386.27134597
0.060881841719105434, 44909129.16021156
0.06599974784013732, 47967816.516880155
0.07111403706638406, 51466559.405745625
0.07623194318741597, 54525246.762414336
0.08134623241366268, 58023989.65127993
0.08646413853469459, 61082677.0079484
0.0915748108661561, 65021475.42901111
0.09669271698718801, 68080162.7856797
0.10180700621343475, 71578905.67454529
0.10691767854489626, 75517704.095608
0.11202835087635779, 79456502.5166707
0.11713902320781935, 83395300.93773341
0.12224969553928092, 87334099.35879612
0.1273567509759572, 91712953.31205606
0.1324601895178484, 96531862.79751289
0.13756362805973962, 101350772.2829696
0.14265983281206038, 107049792.83282077
0.1477560375643812, 112748813.38267183
0.15284862542191682, 118887889.46472001
0.1579267457003117, 126787187.67555654
0.16300486597870664, 134686485.88639295
0.16808298625710158, 142585784.09722948
0.1723039024714084, 150488699.2028513
0.17567303996380504, 157735147.90496242
0.17904217745620163, 164981596.60707366
0.18240588960642048, 172888128.60748053
0.18576417641446155, 181454743.906183
0.1891116125381471, 191341525.80147684
0.19245362331965485, 201888390.99506617
0.1957956341011626, 212435256.1886556
0.19885191019464102, 222983327.0138402
0.2016224516000901, 233532603.47061968
0.20411810900186536, 242762918.96240306
0.2057565623395526, 251996851.3489715
0.20882007222260138, 261664811.10976171
0.21073702645874762, 271777648.92912936
0.21238633048079034, 279691414.7191066
0.21403020916065538, 288265263.8073795
0.21566866249834268, 297499196.193948
0.21731254117820767, 306073045.2822209
0.21896184520025044, 313986811.0721981
0.22060572388011543, 322560660.16047096
0.22223332653344716, 333114759.14363074
0.2238717798711344, 342348691.5301992
0.22551023320882166, 351582623.9167677
0.22713783586215333, 362136722.89992756
0.22876543851548506, 372690821.8830873
0.2303930411688168, 383244920.86624706
0.23202064382214846, 393799019.84940684
0.2336482464754802, 404353118.8325666
0.23527584912881186, 414907217.81572634
0.23690345178214353, 425461316.7988861
0.2385310544354752, 436015415.7820459
0.24015865708880693, 446569514.7652056
0.2417862597421386, 457123613.74836546
0.24341386239547033, 467677712.7315252
0.24504146504880206, 478231811.71468496
0.24666364235995594, 489445993.99614036
0.24828039432893215, 501320259.57589144
0.24990799698226382, 511874358.55905116
0.25153017429341773, 523088540.8405066
0.25315777694674946, 533642639.82366633
0.2547853796000812, 544196738.8068261
0.2564238329377684, 553430671.1933947
0.2580622862754556, 562664603.5799631
0.25969531427096515, 572558619.2648273
0.2613391929508301, 581132468.3531001
0.26297222094633965, 591026484.0379643
0.2646215249683823, 598940249.8279415
0.2662708289904252, 606854015.6179187
0.267920133012468, 614767781.407896
0.26956943703451075, 622681547.1978732
0.27120789037219806, 631915479.5844417
0.2742641664656764, 642463550.4096262
0.2778702105665024, 655649543.164803
0.2812176466901879, 665536325.0600969
0.2845813588404068, 673442857.0605037
0.2879559216749812, 680029222.4643193
0.292185880126251, 686831998.7394483
0.29727846798378665, 692971074.8214965
0.3015355531459454, 696473434.6051472
0.30837148428993844, 699084832.6400483
0.3178224303636179, 696404713.6042287
0.32300544059078307, 691542401.3813497
0.3281956846075186, 685799978.0940765
0.3325413836919142, 678520977.3388987
0.33603530405439963, 670585510.1802102
0.3395346497590628, 661989959.7232263
0.34216051537310455, 655378276.0559144
0.34481893304021305, 644806092.5988288
0.3474556493386103, 636874242.3349257
0.3501140670057188, 626302058.8778399
0.35190442992438364, 617053658.9121307
0.3536839421586929, 609125425.5430127
0.3554634543930023, 601197192.1738948
0.3572429666273116, 593268958.8047769
0.3590279042037987, 584680642.1373632
0.3608182671224637, 575432242.171654
0.36260863004112853, 566183842.2059448
0.3643989929597934, 556935442.2402356
0.3662002065628138, 546366875.677935
0.36800142016583415, 535798309.11563456
0.3698026337688547, 525229742.55333406
0.371603847371875, 514661175.9910336
0.37340506097489545, 504092609.42873305
0.3752062745779159, 493524042.86643255
0.3770074881809363, 482955476.3041321
0.37880870178395665, 472386909.74183154
0.3806099153869771, 461818343.1795311
0.38241655433217536, 450589693.3189349
0.3842177679351957, 440021126.7566345
0.3860298322225717, 428132393.5977427
0.38783647116776976, 416903743.73714656
0.3896376847707903, 406335177.17484605
0.39142804768945516, 397086777.20913684
0.39323468663465333, 385858127.3485407
0.3950413255798516, 374629477.4879446
0.39683168849851636, 365381077.52223533
0.39862747675935906, 355472594.2582305
0.40042326502020165, 345564110.9942256
0.4022244786232221, 334995544.4319252
0.4040094161997092, 326407227.7645115
0.4058052044605518, 316498744.50050664
0.407590142037039, 307910427.8330931
0.4093859302978816, 298001944.5690882
0.41117086787436863, 289413627.9016746
0.4129503801086779, 281485394.53255665
0.4147298923429874, 273557161.1634387
0.4165094045772967, 265628927.79432082
0.41828891681160596, 257700694.42520273
0.4209364837943589, 248448677.56470835
0.42271599602866816, 240520444.19559038
0.4253527123270655, 232588593.93168724
0.4271430752457305, 223340193.96597803
0.43064784629257136, 214084560.2106985
0.4341634680237678, 203508759.8588276
0.4376790897549643, 192932959.5069567
0.44119471148616074, 182357159.15508592
0.4446940571908239, 173761608.69810188
0.4481988282376649, 164505974.94282234
0.4516818979157947, 157890674.38072515
0.4551703929361023, 150615290.52033257
0.45865888795640997, 143339906.65993977
0.4630045870408056, 136060905.90476203
0.46821291553146704, 128118204.95650327
0.4734212440221285, 120175504.00824463
0.4786114880388639, 114433080.72097123
0.48380896584516986, 107810546.36930382
0.48899920986190537, 102068123.08203077
0.4941786031942854, 97645866.39134872
0.4993652303162357, 92343498.63627255
0.5045410067538305, 88361297.47778761
0.5097276338757808, 83058929.72271144
0.5149034103133756, 79076728.56422663
0.5200791867509704, 75094527.40574181
0.5252477293989949, 71992437.31165099
0.5304235058365897, 68010236.15316606
0.5355956653793994, 64468090.52687824
0.5407678249222089, 60925944.90059066
0.5459399844650186, 57383799.27430272
0.5511121440078282, 53841653.6480149
0.5562770697610675, 51179619.08612132
0.5614528461986623, 47197417.927636504
0.5666213888466868, 44095327.833545685
0.5717935483894963, 40553182.20725787
0.5769584741427356, 37891147.645364285
0.5821306336855452, 34349002.01907647
0.5872991763335697, 31246911.924985886
0.5924713358763793, 27704766.298698068
0.5976398785244038, 24602676.20460725
0.6028120380672133, 21060530.57831955
0.6079769638204526, 18398496.016425848
0.6131418895736919, 15736461.454532266
0.6183068153269311, 13074426.892638683
0.6217392484780685, 12619903.781300783
0.6269041742313076, 9957869.219407082
